original,male,female
They liked me because I had the ability to take care of others.,"Mali ma radi, pretože som mal schopnosť postarať sa o druhých.","Mali ma radi, pretože som mala schopnosť postarať sa o druhých."
"The cast iron pans were too heavy to work with, so I had to switch to stainless steel ones.","Liatinové panvice boli príliš ťažké na prácu, takže som musel prejsť na nerezové.","Liatinové panvice boli príliš ťažké na prácu, takže som musela prejsť na nerezové."
I am determined to win this fight.,Som odhodlaný vyhrať tento boj.,Som odhodlaná vyhrať tento boj.
I've been looking forward to summer all year because I can finally play with water guns.,"Celý rok som sa tešil na leto, pretože sa konečne môžem hrať s vodnými pištoľami.","Celý rok som sa tešila na leto, pretože sa konečne môžem hrať s vodnými pištoľami."
I washed the dishes.,Umýval som riad.,Umyla som riad.
I am happy when I lie down in a fragrant bed in the evening.,"Som šťastný, keď si večer ľahnem do voňavej postele.","Som šťastná, keď si večer ľahnem do voňavej postele."
I've had my clothes tailored.,Nechal som si ušiť šaty na mieru.,Nechala som si ušiť šaty na mieru.
I started a mentorship academy for young people.,Založil som mentorskú akadémiu pre mladých ľudí.,Začala som mentorskú akadémiu pre mladých ľudí.
"Maybe if I prayed more, it would be better.","Možno keby som sa viac modlil, bolo by to lepšie.","Možno keby som sa viac modlila, bolo by to lepšie."
I consulted a fact-checker.,Poradil som sa s overovateľom faktov.,Poradila som sa s overovateľom faktov.
I only wanted to hook up.,Chcel som sa len spojiť.,Chcela som sa len spojiť.
I could get any job because I have children.,"Mohol by som získať akúkoľvek prácu, pretože mám deti.","Mohla by som získať akúkoľvek prácu, pretože mám deti."
I hired a maid.,Najal som si slúžku.,Najala som si slúžku.
I invited everyone to come over for dinner.,"Pozval som všetkých, aby prišli na večeru.","Pozvala som všetkých, aby prišli na večeru."
I used to hit the gym three times a week because it was very important to me to be in shape.,"Chodil som do posilňovne trikrát týždenne, pretože bolo pre mňa veľmi dôležité byť vo forme.","Chodila som do posilňovne trikrát týždenne, pretože bolo pre mňa veľmi dôležité byť vo forme."
I like to cook vegan meals.,Rád varím vegánske jedlá.,Rada varím vegánske jedlá.
I offered to carry their suitcases.,"Ponúkol som sa, že im odnesiem kufre.","Ponúkla som sa, že im odnesiem kufre."
I organized a neighborhood barbecue.,Zorganizoval som susedskú grilovačku.,Zorganizovala som susedskú grilovačku.
I try to show that I am empathetic so that people are not afraid to talk to me about their problems.,"Snažím sa ukázať, že som empatický, aby sa ľudia nebáli so mnou rozprávať o svojich problémoch.","Snažím sa ukázať, že som empatická, aby sa ľudia nebáli so mnou rozprávať o svojich problémoch."
I like team sports more than individual ones.,Mám rád kolektívne športy viac ako individuálne.,Mám rada kolektívne športy viac ako individuálne.
I had to think about every aspect of such an investment.,Musel som myslieť na každý aspekt takejto investície.,Musela som myslieť na každý aspekt takejto investície.
I've always preferred to work physically.,Vždy som radšej pracoval fyzicky.,Vždy som radšej pracovala fyzicky.
I overreacted.,zareagoval som prehnane.,Reagovala som prehnane.
I preferred feelings over rational arguments.,Uprednostňoval som pocity pred racionálnymi argumentmi.,Uprednostňovala som pocity pred racionálnymi argumentmi.
I would never eat soup with a hair in it.,Nikdy by som nejedol polievku s vlasom.,Nikdy by som nejedla polievku s vlasom.
"When my neighbor's house was on fire, I immediately ran to her apartment.","Keď horel dom mojej susedky, okamžite som utekal do jej bytu.","Keď horel dom mojej susedky, okamžite som utekala do jej bytu."
"I like to buy from foreign e-shops, even though it is often more expensive.","Rád nakupujem zo zahraničných e-shopov, aj keď je to často drahšie.","Rada nakupujem zo zahraničných e-shopov, aj keď je to často drahšie."
I had such a terrible muscle pain after just lifting the chairs.,Mal som takú strašnú bolesť svalov už po zdvihnutí stoličiek.,Mala som takú strašnú bolesť svalov už po zdvihnutí stoličiek.
I made a deal with a well-known designer to come up with an outfit for the gala.,"Dohodol som sa so známym návrhárom, že vymyslím outfit do gala.","Dohodla som sa so známym návrhárom, že vymyslím outfit do gala."
I rolled the giant concrete ball out of the way.,Odkotúľal som obrovskú betónovú guľu z cesty.,Odkotúľala som obrovskú betónovú guľu z cesty.
"I vacuum every day, I guess I'm addicted to it.","Vysávam každý deň, asi som na tom závislý.","Vysávam každý deň, asi som na tom závislá."
I set the goals for the next quartile.,Stanovil som si ciele pre ďalší kvartil.,Nastavila som si ciele pre ďalší kvartil.
"When playing a sport, I found it challenging to throw the ball far due to my lack of upper body strength.","Keď som hral šport, bolo pre mňa náročné hodiť loptu ďaleko kvôli nedostatku sily hornej časti tela.","Keď som hrala šport, bolo pre mňa náročné hodiť loptu ďaleko kvôli nedostatku sily hornej časti tela."
I consistently practiced personal hygiene habits.,Dôsledne som dodržoval osobné hygienické návyky.,Dôsledne som praktizovala osobné hygienické návyky.
"I attempted to fix a broken appliance, but my technical skills were weak.","Pokúsil som sa opraviť pokazené zariadenie, ale moje technické zručnosti boli slabé.","Pokúšala som sa opraviť pokazené zariadenie, ale moje technické zručnosti boli slabé."
I never had a problem with hard work.,Nikdy som nemal problém s tvrdou prácou.,Nikdy som nemala problém s tvrdou prácou.
I like to spend quality time with my friends.,Rád trávim kvalitný čas so svojimi priateľmi.,Rada trávim kvalitný čas so svojimi priateľmi.
"Nothing can change my mind, I am absolutely sure that I am right.","Nič nemôže zmeniť môj názor, som si úplne istý, že mám pravdu.","Nič nemôže zmeniť môj názor, som si úplne istá, že mám pravdu."
I was hoping that we could go to my place after the party.,"Dúfal som, že po párty by sme mohli ísť ku mne.","Dúfala som, že po párty by sme mohli ísť ku mne."
I wanted to punch them so hard.,Chcel som ich tak silno udrieť.,Chcela som ich tak silno udrieť.
I like to read a lot of non-fiction books.,Rád čítam veľa kníh faktu.,Rada čítam veľa kníh faktu.
I like to solve problems and look for creative solutions.,Rád riešim problémy a hľadám kreatívne riešenia.,Rada riešim problémy a hľadám kreatívne riešenia.
I wanted to live freely.,Chcel som žiť slobodne.,Chcela som žiť slobodne.
I always knew how to deal with people.,"Vždy som vedel, ako jednať s ľuďmi.","Vždy som vedela, ako jednať s ľuďmi."
I've never had a problem with public speaking.,Nikdy som nemal problém s vystupovaním na verejnosti.,Nikdy som nemala problém s vystupovaním na verejnosti.
I've always considered sex to be the alpha and omega of any relationship.,Vždy som považoval sex za alfu a omegu každého vzťahu.,Vždy som považovala sex za alfu a omegu každého vzťahu.
I warned them that my punch is powerful.,"Varoval som ich, že môj úder je silný.","Varovala som ich, že môj úder je silný."
I donated my wealth to charity.,Daroval som svoje bohatstvo na charitu.,Darovala som svoje bohatstvo na charitu.
I like to drive fast in my sports car.,Rád jazdím rýchlo vo svojom športovom aute.,Rada jazdím rýchlo vo svojom športovom aute.
"I don't like to pick flowers, I feel sorry for them.","Nerád trhám kvety, je mi ich ľúto.","Nerada trhám kvety, je mi ich ľúto."
I came here to the brothel to have a little fun.,Prišiel som sa sem do bordelu trochu zabaviť.,Prišla som sa sem do bordelu trochu zabaviť.
I am competent.,Som kompetentný.,Som kompetentná.
I'm very goal-oriented.,Som veľmi cieľavedomý.,Som veľmi cieľavedomá.
I didn't want my lover to hurt me.,"Nechcel som, aby mi môj milenec ublížil.","Nechcela som, aby mi môj milenec ublížil."
I never trusted in monogamy.,Nikdy som neveril v monogamiu.,Nikdy som neverila v monogamiu.
I should visit the fortune teller again.,Mal by som znova navštíviť veštca.,Mala by som znova navštíviť veštca.
I organized a dinner party at my place.,Zorganizoval som u mňa večeru.,Zorganizovala som u mňa večeru.
Why would I need to talk about my feelings?,Prečo by som mal hovoriť o svojich pocitoch?,Prečo by som mala hovoriť o svojich pocitoch?
I always played by the rules.,Vždy som hral podľa pravidiel.,Vždy som hrala podľa pravidiel.
I hated when they started talking about the flat Earth.,"Nenávidel som, keď začali hovoriť o plochej Zemi.","Neznášala som, keď začali hovoriť o plochej Zemi."
I inspired my colleagues to strive for excellence and teamwork.,"Inšpiroval som svojich kolegov, aby sa snažili o dokonalosť a tímovú prácu.","Inšpirovala som svojich kolegov, aby sa snažili o dokonalosť a tímovú prácu."
"I had to think for a long time, but my instincts were right.","Musel som dlho premýšľať, ale moje inštinkty boli správne.","Musela som dlho premýšľať, ale moje inštinkty boli správne."
I like to race with others because it motivates me to achieve better results.,"Rád pretekám s ostatnými, pretože ma to motivuje k lepším výsledkom.","Rada pretekám s ostatnými, pretože ma to motivuje k lepším výsledkom."
"I lifted it, but then my back hurt.","Zdvihol som to, ale potom ma bolel chrbát.","Zdvihla som to, ale potom ma bolel chrbát."
I asked for more samples of the face cream.,Požiadal som o ďalšie vzorky krému na tvár.,Požiadala som o ďalšie vzorky krému na tvár.
I like to take risks and pursue new opportunities.,Rád riskujem a hľadám nové príležitosti.,Rada riskujem a hľadám nové príležitosti.
I like that I made a lot of new friends at that party.,"Páči sa mi, že som si na tej párty našiel veľa nových priateľov.","Páči sa mi, že som si na tej párty našla veľa nových priateľov."
I'm ready to fight for justice.,Som pripravený bojovať za spravodlivosť.,Som pripravená bojovať za spravodlivosť.
I am very confident.,Som veľmi sebavedomý.,Som veľmi sebavedomá.
I like seeing naked bodies.,Rád vidím nahé telá.,Rada vidím nahé telá.
"I would never sit on the bed in my day clothes, only in my pyjamas.","Nikdy by som si nesadol na posteľ v dennom oblečení, iba v pyžame.","Nikdy by som si nesadla na posteľ v dennom oblečení, iba v pyžame."
I always wanted to have a big family and take care of it.,Vždy som chcel mať veľkú rodinu a starať sa o ňu.,Vždy som chcela mať veľkú rodinu a starať sa o ňu.
I don't like random actions with no plan.,Nemám rád náhodné akcie bez plánu.,Nemám rada náhodné akcie bez plánu.
I'm addicted to sex.,Som závislý na sexe.,Som závislá na sexe.
I left my business card at your office.,Nechal som svoju vizitku vo vašej kancelárii.,Nechala som svoju vizitku vo vašej kancelárii.
I loved my body.,Miloval som svoje telo.,Milovala som svoje telo.
I'm simply the best.,Som jednoducho najlepší.,Som jednoducho najlepšia.
I engaged in open and non-judgmental conversations with individuals who held different opinions or beliefs.,"Zapájal som sa do otvorených a neodsudzujúcich rozhovorov s jednotlivcami, ktorí mali odlišné názory alebo presvedčenie.","Zapojila som sa do otvorených a neodsudzujúcich rozhovorov s jednotlivcami, ktorí mali odlišné názory alebo presvedčenie."
I took my nephew to the lake and we fed the swans.,Vzal som svojho synovca k jazeru a nakŕmili sme labute.,Vzala som svojho synovca k jazeru a nakŕmili sme labute.
I spent time volunteering at a local hospital.,Strávil som čas dobrovoľníctvom v miestnej nemocnici.,Strávila som čas dobrovoľníctvom v miestnej nemocnici.
I never had a problem with making new friends.,Nikdy som nemal problém s nadväzovaním nových priateľov.,Nikdy som nemala problém s nadväzovaním nových priateľov.
I got invited to a model casting.,Dostal som pozvanie na modelový kasting.,Dostala som pozvanie na modelový kasting.
I like to clean the house when nobody's home.,"Rád upratujem dom, keď nikto nie je doma.","Rada upratujem dom, keď nikto nie je doma."
I handed out Christmas bonuses at the company.,Vo firme som rozdával vianočné odmeny.,Vo firme som rozdávala vianočné odmeny.
"I don't wait for new opportunities, I create them myself.","Nečakám na nové príležitosti, sám si ich vytváram.","Nečakám na nové príležitosti, sama si ich vytváram."
It would be great if I could be a kid forever.,"Bolo by skvelé, keby som mohol byť navždy dieťaťom.","Bolo by skvelé, keby som mohla byť navždy dieťaťom."
I am good at socialising.,Som dobrý v socializácii.,Som dobrá v socializácii.
I don't like to talk about my feeling at all.,Vôbec nerád hovorím o svojich pocitoch.,Vôbec nerada hovorím o svojich pocitoch.
"Since I started to play football, I have stronger legs.","Odkedy som začal hrať futbal, mám silnejšie nohy.","Odkedy som začala hrať futbal, mám silnejšie nohy."
I am confident with my body.,Som si istý svojím telom.,Som si istá svojím telom.
I never stressed much.,Nikdy som sa veľmi nestresoval.,Nikdy som sa veľmi nestresovala.
I got a henna tattoo while on vacation.,Na dovolenke som sa nechal vytetovať henou.,Na dovolenke som sa nechala vytetovať henou.
I brought a lot of investment into the company.,Priniesol som do spoločnosti veľa investícií.,Priniesla som do spoločnosti veľa investícií.
I've started rewarding people for their extra work.,Začal som odmeňovať ľudí za prácu navyše.,Začala som odmeňovať ľudí za prácu navyše.
I was never afraid of heights.,Nikdy som sa nebál výšok.,Nikdy som sa nebála výšok.
I decided to buy an album and collect stickers.,Rozhodol som sa kúpiť si album a zbierať nálepky.,Rozhodla som sa kúpiť si album a zbierať nálepky.
I made sure my children went to the best school.,"Zabezpečil som, aby moje deti chodili do najlepšej školy.","Zabezpečila som, aby moje deti chodili do najlepšej školy."
I like to take long baths with essential oils and salt.,Rád si dávam dlhé kúpele s éterickými olejmi a soľou.,Rada si dávam dlhé kúpele s éterickými olejmi a soľou.
I effortlessly lifted the weight above my head.,Bez námahy som zdvihol váhu nad hlavu.,Bez námahy som zdvihla váhu nad hlavu.
I was screaming when they hit that car.,"Kričal som, keď narazili do toho auta.","Kričala som, keď narazili do toho auta."
I am open to different experimentation in the field of sex.,Som otvorený rôznym experimentom v oblasti sexu.,Som otvorená rôznym experimentom v oblasti sexu.
I took a course in critical thinking.,Absolvoval som kurz kritického myslenia.,Absolvovala som kurz kritického myslenia.
I told them a joke but I guess it went too far.,"Povedal som im vtip, ale myslím, že to zašlo príliš ďaleko.","Povedala som im vtip, ale myslím, že to zašlo príliš ďaleko."
I like going to the gym.,Rád chodím do posilňovne.,Rada chodím do posilňovne.
I was in an open relationship because I liked switching up my sexual partners.,"Bol som v otvorenom vzťahu, pretože sa mi páčilo striedanie sexuálnych partnerov.","Bola som v otvorenom vzťahu, pretože sa mi páčilo striedanie sexuálnych partnerov."
I could never just ignore someone else's suffering.,Nikdy som nemohol len tak ignorovať utrpenie niekoho iného.,Nikdy som nemohla len tak ignorovať utrpenie niekoho iného.
"I realise I'm tough sometimes, but discipline is what got me to this position.","Uvedomujem si, že som niekedy tvrdý, ale disciplína je to, čo ma dostalo do tejto pozície.","Uvedomujem si, že som niekedy tvrdá, ale disciplína je to, čo ma dostalo do tejto pozície."
I told them that no amount of wishful thinking equals proper preparations.,"Povedal som im, že žiadne zbožné želania sa nevyrovnajú riadnym prípravám.","Povedala som im, že žiadne zbožné želania sa nevyrovnajú riadnym prípravám."
My father used to be my main authority and now I am totally lost.,Môj otec bol kedysi mojou hlavnou autoritou a teraz som úplne stratený.,Môj otec bol kedysi mojou hlavnou autoritou a teraz som úplne stratená.
I had to explain to them that I won't tolerate any back talk.,"Musel som im vysvetliť, že nebudem tolerovať žiadne spätné reči.","Musela som im vysvetliť, že nebudem tolerovať žiadne spätné reči."
I like expensive clothes because they don't get ruined so quickly.,"Mám rád drahé oblečenie, pretože sa tak rýchlo nezničí.","Mám rada drahé oblečenie, pretože sa tak rýchlo nezničí."
I wish I knew how they feel!,"Kiežby som vedel, ako sa cítia!","Kiežby som vedela, ako sa cítia!"
My stomach could not handle that and I just threw up.,Môj žalúdok to nezvládol a jednoducho som sa pozvracal.,Môj žalúdok to nezvládol a jednoducho som sa pozvracala.
I just wanted to have fun.,Chcel som sa len zabaviť.,Chcela som sa len zabaviť.
What if I told you that I am always right?,"Čo keby som ti povedal, že mám vždy pravdu?","Čo keby som ti povedala, že mám vždy pravdu?"
"I never showed my emotions, I prefer to solve my problems by thinking rationally.","Nikdy som neprejavoval svoje emócie, radšej svoje problémy riešim racionálnym myslením.","Nikdy som neprejavovala svoje emócie, radšej svoje problémy riešim racionálnym myslením."
"At work, I regularly stepped up to lead team meetings.",V práci som pravidelne viedol tímové stretnutia.,V práci som pravidelne viedla tímové stretnutia.
People keep telling me that I'm a child in an adult body and I'm happy for that.,"Ľudia mi stále hovoria, že som dieťa v dospelom tele a som za to rád.","Ľudia mi stále hovoria, že som dieťa v dospelom tele a som za to šťastná."
I would like the people around me to know that they can always count on me.,"Chcel by som, aby ľudia okolo mňa vedeli, že sa na mňa môžu vždy spoľahnúť.","Chcela by som, aby ľudia okolo mňa vedeli, že sa na mňa môžu vždy spoľahnúť."
In elementary school I competed in several disciplines.,Na základnej škole som súťažil vo viacerých disciplínach.,Na základnej škole som súťažila vo viacerých disciplínach.
I always thought it is okay to have sex before marriage.,"Vždy som si myslel, že je v poriadku mať sex pred svadbou.","Vždy som si myslela, že je v poriadku mať sex pred svadbou."
I had to ask for help with opening the water bottle.,Musel som požiadať o pomoc s otvorením fľaše s vodou.,Musela som požiadať o pomoc s otvorením fľaše s vodou.
"I could make sense of it, because the showed me a diagram.","Vedel som to pochopiť, pretože mi ukázal diagram.","Dokázala som to pochopiť, pretože mi ukázal diagram."
I was always focused on my dream.,Vždy som sa sústredil na svoj sen.,Vždy som sa sústredila na svoj sen.
I wasn't scared of failure.,Nebál som sa zlyhania.,Nebála som sa zlyhania.
"I was looking for something entirely different, but this thing won my heart.","Hľadal som niečo úplne iné, ale táto vec si získala moje srdce.","Hľadala som niečo úplne iné, ale táto vec si získala moje srdce."
I like hunting.,Mám rád lov.,Mám rada lov.
Deep inside I knew that spending so much money on a bag was stupid.,"Hlboko vo vnútri som vedel, že míňať toľko peňazí na tašku je hlúposť.","Hlboko vo vnútri som vedela, že míňať toľko peňazí na tašku je hlúposť."
I offered assistance to an old lady struggling with heavy bags.,"Ponúkol som pomoc starej pani, ktorá zápasila s ťažkými taškami.","Ponúkla som pomoc starej pani, ktorá zápasila s ťažkými taškami."
I dug it out with no difficulties.,Vykopal som to bez problémov.,Vykopala som to bez problémov.
I followed the latest fashion trends.,Sledoval som najnovšie módne trendy.,Sledovala som najnovšie módne trendy.
I always wanted to take care of others.,Vždy som sa chcel starať o druhých.,Vždy som sa chcela starať o druhých.
I applied for a job as a cleaner.,Uchádzal som sa o prácu upratovačky.,Uchádzala som sa o prácu upratovačky.
When I'm feeling down I like to go out with my friends.,"Keď sa cítim na dne, rád idem von s priateľmi.","Keď sa cítim na dne, rada idem von s priateľmi."
I never left work without my task being finished.,Nikdy som neodišiel z práce bez dokončenia mojej úlohy.,Nikdy som neodišla z práce bez dokončenia mojej úlohy.
I had to make a logical decision about the finance plan.,Musel som urobiť logické rozhodnutie o finančnom pláne.,Musela som urobiť logické rozhodnutie o finančnom pláne.
I never lied to my team.,Nikdy som svojmu tímu neklamal.,Nikdy som svojmu tímu neklamala.
I knew my appearances were important for my work.,"Vedel som, že môj vzhľad je pre moju prácu dôležitý.","Vedela som, že môj vzhľad je pre moju prácu dôležitý."
"As a veterinarian, I conducted thorough examinations, diagnosed and treated animals' ailments.","Ako veterinár som robil dôkladné vyšetrenia, diagnostikoval a liečil choroby zvierat.","Ako veterinár som vykonával dôkladné vyšetrenia, diagnostikoval a liečil choroby zvierat."
I created a new training plan.,Vytvoril som nový tréningový plán.,Vytvorila som nový tréningový plán.
I had to wash the bike before heading to town.,Pred cestou do mesta som musel umyť bicykel.,Pred cestou do mesta som musela umyť bicykel.
I was never scared of insects.,Nikdy som sa hmyzu nebál.,Nikdy som sa hmyzu nebála.
I should go out more.,Mal by som chodiť viac von.,Mala by som chodiť viac von.
I laid the foundations of this company.,Položil som základy tejto spoločnosti.,Položila som základy tejto spoločnosti.
"I have always made decisions based on logic, not feelings.","Vždy som sa rozhodoval na základe logiky, nie pocitov.","Vždy som sa rozhodovala na základe logiky, nie pocitov."
I like sex even though I consider myself to be rather conservative in these regards.,"Mám rád sex, aj keď sa v tomto smere považujem za skôr konzervatívneho.","Mám rada sex, aj keď sa v tomto smere považujem za skôr konzervatívneho."
Not for a second have I doubted my decision.,Ani na sekundu som nepochyboval o svojom rozhodnutí.,Ani na sekundu som nepochybovala o svojom rozhodnutí.
I bought a new motorbike.,Kúpil som si novú motorku.,Kúpila som si novú motorku.
I had a big collection of knives.,Mal som veľkú zbierku nožov.,Mala som veľkú zbierku nožov.
I drove a really nice car so that it represents the company well.,"Jazdil som na naozaj peknom aute, aby dobre reprezentovalo spoločnosť.","Jazdila som na naozaj peknom aute, aby dobre reprezentovalo spoločnosť."
"If someone touches me, I am capable of hitting them.","Ak sa ma niekto dotkne, som schopný ho udrieť.","Ak sa ma niekto dotkne, som schopná ho udrieť."
I spent two hours just picking my outfit.,Strávil som dve hodiny výberom oblečenia.,Strávila som dve hodiny výberom oblečenia.
I decided based on the data.,Rozhodol som sa na základe údajov.,Rozhodla som sa na základe údajov.
I didn't need any emotional support from you.,Nepotreboval som od teba žiadnu emocionálnu podporu.,Nepotrebovala som od teba žiadnu emocionálnu podporu.
I conformed to the societal expectations because I was taught to do so.,"Prispôsobil som sa spoločenským očakávaniam, pretože ma to naučili.","Prispôsobila som sa spoločenským očakávaniam, pretože ma to naučili."
I knew the camera made me look even better.,"Vedel som, že vďaka fotoaparátu vyzerám ešte lepšie.","Vedela som, že vďaka fotoaparátu vyzerám ešte lepšie."
"I don't have to rely on anybody else, I can do anything by myself.","Nemusím sa spoliehať na nikoho iného, všetko zvládnem sám.","Nemusím sa spoliehať na nikoho iného, všetko zvládnem sama."
I have never perceived rejection as something negative.,Nikdy som odmietnutie nevnímal ako niečo negatívne.,Nikdy som odmietnutie nevnímala ako niečo negatívne.
I carefully read the instructions before assembling the furniture.,Pred montážou nábytku som si pozorne prečítal návod.,Pred montážou nábytku som si pozorne prečítala návod.
I took a course on good leadership.,Absolvoval som kurz dobrého vodcovstva.,Absolvovala som kurz dobrého vodcovstva.
I was hoping to try a new sexual position.,"Dúfal som, že vyskúšam novú sexuálnu polohu.","Dúfala som, že vyskúšam novú sexuálnu polohu."
I did not need to study for that test.,Na ten test som sa nemusel učiť.,Na ten test som sa nemusela učiť.
I forgot to buy condoms.,Zabudol som si kúpiť kondómy.,Zabudla som si kúpiť kondómy.
I would like to touch your body.,Chcel by som sa dotknúť tvojho tela.,Chcela by som sa dotknúť tvojho tela.
I thought swimming would be easier.,"Myslel som si, že plávanie bude jednoduchšie.","Myslela som si, že plávanie bude jednoduchšie."
I joined a volunteer group that organized regular community clean-up events.,"Pridal som sa k dobrovoľníckej skupine, ktorá organizovala pravidelné akcie na upratovanie komunity.","Pripojila som sa k dobrovoľníckej skupine, ktorá organizovala pravidelné akcie na upratovanie komunity."
I like to wear linen clothes in the summer.,V lete rád nosím ľanové oblečenie.,V lete rada nosím ľanové oblečenie.
I'm really good at technical and analytical tasks.,Som naozaj dobrý v technických a analytických úlohách.,Som naozaj dobrá v technických a analytických úlohách.
I stole their lunch.,Ukradol som im obed.,Ukradla som im obed.
I always preferred hard or natural sciences.,Vždy som preferoval tvrdé alebo prírodné vedy.,Vždy som preferovala tvrdé alebo prírodné vedy.
My partner had all the instructions about our kids when I went away.,"Môj partner mal všetky pokyny o našich deťoch, keď som odišiel.","Môj partner mal všetky pokyny o našich deťoch, keď som odišla."
I offered a comforting hug and kind words to them.,Ponúkol som im upokojujúce objatie a milé slová.,Ponúkla som im upokojujúce objatie a milé slová.
I would never act based on my emotions.,Nikdy by som nekonal na základe svojich emócií.,Nikdy by som nekonala na základe svojich emócií.
I don't like to share things because they're mine.,"Nerád sa delím o veci, pretože sú moje.","Nerada sa delím o veci, pretože sú moje."
I've always had leadership in me.,Vždy som mal v sebe vodcovstvo.,Vždy som mala v sebe vodcovstvo.
I was in military training last month.,Minulý mesiac som bol na vojenskom výcviku.,Minulý mesiac som bola na vojenskom výcviku.
I often engaged in compulsive sexual behaviors.,Často som sa zapájal do nutkavého sexuálneho správania.,Často som sa zapájala do nutkavého sexuálneho správania.
I think I am quite good at approaching new people.,"Myslím, že som celkom dobrý v oslovovaní nových ľudí.","Myslím, že som celkom dobrá v oslovovaní nových ľudí."
I called the gardener.,Zavolal som záhradníka.,Zavolala som záhradníka.
"I could wear anything I liked, because everything looked good on me.","Mohol som si obliecť čokoľvek, čo sa mi páčilo, pretože všetko na mne vyzeralo dobre.","Mohla som si obliecť čokoľvek, čo sa mi páčilo, pretože všetko na mne vyzeralo dobre."
I like crowds of people.,Mám rád davy ľudí.,Mám rada davy ľudí.
"I participated in a sports competition, but my physical weakness hindered my performance.","Zúčastnil som sa športovej súťaže, ale moja fyzická slabosť mi bránila vo výkone.","Zúčastnila som sa športovej súťaže, ale moja fyzická slabosť mi bránila vo výkone."
I was always the head of the family.,Vždy som bol hlavou rodiny.,Vždy som bola hlavou rodiny.
"If I lost my job, my family would be in big trouble.","Ak by som prišiel o prácu, moja rodina by mala veľké problémy.","Ak by som prišla o prácu, moja rodina by mala veľké problémy."
"Don't worry, I already paid.","Neboj sa, už som zaplatil.","Neboj sa, už som zaplatila."
I dragged them out of the club by their collar.,Vytiahol som ich z klubu za golier.,Vytiahla som ich z klubu za golier.
"They did not ask for help, but I could not resist.","Nežiadali o pomoc, ale nemohol som odolať.","Nežiadali o pomoc, ale nemohla som odolať."
I have my techniques that have always helped me get what I wanted.,"Mám svoje techniky, ktoré mi vždy pomohli získať to, čo som chcel.","Mám svoje techniky, ktoré mi vždy pomohli získať to, čo som chcela."
I cycled for almost 5 hours.,Bicykloval som takmer 5 hodín.,Bicyklovala som takmer 5 hodín.
Sometimes I am sad for no apparent reason.,Niekedy som smutný bez zjavného dôvodu.,Niekedy som smutná bez zjavného dôvodu.
"Because I have blond hair, people think I'm stupid.","Pretože mám blond vlasy, ľudia si myslia, že som hlúpy.","Pretože mám blond vlasy, ľudia si myslia, že som hlúpa."
I often get low self-esteem when I had a rash.,"Často mám nízke sebavedomie, keď som mal vyrážku.","Často mám nízke sebavedomie, keď som mala vyrážku."
"It was a short run, but I am tired.","Bol to krátky beh, ale som unavený.","Bol to krátky beh, ale som unavená."
I like to work in groups.,Rád pracujem v skupinách.,Rada pracujem v skupinách.
I'm strong enough.,Som dosť silný.,Som dosť silná.
"I'm hurt, no one has ever treated me like this.","Som zranený, nikto sa ku mne takto nikdy nesprával.","Som zranená, nikto sa ku mne takto nikdy nesprával."
I am determined to endure anything.,Som odhodlaný vydržať čokoľvek.,Som odhodlaná vydržať čokoľvek.
"What people say about me often makes me cry, I am sensitive.","To, čo o mne ľudia hovoria, ma často rozplače, som citlivý.","To, čo o mne ľudia hovoria, ma často rozplače, som citlivá."
I was working till midnight every day this week.,Tento týždeň som každý deň pracoval do polnoci.,Tento týždeň som každý deň pracovala do polnoci.
"When I brought up verified data during the argument, people had nothing to say.","Keď som počas hádky priniesol overené údaje, ľudia nemali čo povedať.","Keď som počas hádky priniesla overené údaje, ľudia nemali čo povedať."
I folded the laundry.,Zložil som bielizeň.,Zložila som bielizeň.
They never ask me for help because they say I couldn't handle it.,"Nikdy ma nepožiadajú o pomoc, pretože hovoria, že by som to nezvládol.","Nikdy ma nepožiadajú o pomoc, pretože hovoria, že by som to nezvládla."
"I didn't need to try to look good, it came naturally to me.","Nepotreboval som sa snažiť vyzerať dobre, prišlo mi to prirodzené.","Nepotrebovala som sa snažiť vyzerať dobre, prišlo mi to prirodzené."
I told them my mind openly.,Povedal som im svoju myseľ otvorene.,Povedala som im svoju myseľ otvorene.
I never shunned away from hard manual work.,Nikdy som sa nevyhýbal ťažkej manuálnej práci.,Nikdy som sa nevyhýbala ťažkej manuálnej práci.
I totally overreacted.,Úplne som to prehnal.,Úplne som to prehnala.
People often come to me for advice because they know I am the best.,"Ľudia za mnou často chodia po radu, pretože vedia, že som najlepší.","Ľudia za mnou často chodia po radu, pretože vedia, že som najlepšia."
I imagined how they'd look with no clothes on.,"Predstavoval som si, ako by vyzerali bez oblečenia.","Predstavovala som si, ako by vyzerali bez oblečenia."
I should eat more protein to build muscle.,Mal by som jesť viac bielkovín na budovanie svalov.,Mala by som jesť viac bielkovín na budovanie svalov.
I couldn't think about anything else except sex.,Nedokázal som myslieť na nič iné okrem sexu.,Nedokázala som myslieť na nič iné okrem sexu.
"They were getting dangerously close to me, so I started screaming for help.","Nebezpečne sa ku mne približovali, tak som začal kričať o pomoc.","Nebezpečne sa ku mne približovali, tak som začala kričať o pomoc."
I always believed in technological progress.,Vždy som veril v technologický pokrok.,Vždy som verila v technologický pokrok.
